id,created,project_id,task_id,user_id,finish_time,task
6811,2020-03-22T21:00:18.762675,238,2762,127,2020-03-22T21:35:24.185786,Quoted Sources
6817,2020-03-22T21:00:18.882916,238,2763,127,2020-03-22T21:40:11.603131,Quoted Sources
6821,2020-03-22T21:35:24.432392,238,2764,127,2020-03-22T21:42:49.307889,Quoted Sources
6828,2020-03-22T21:40:12.017893,238,2765,127,2020-03-22T21:49:48.136914,Quoted Sources
6840,2020-03-22T21:42:49.507588,238,2766,127,2020-03-22T21:58:56.087608,Quoted Sources
6843,2020-03-22T21:49:48.349860,238,2767,127,2020-03-22T22:02:10.757185,Quoted Sources
6852,2020-03-22T21:58:56.308070,238,2768,127,2020-03-22T22:21:37.348987,Quoted Sources
6853,2020-03-22T22:02:10.975929,238,2769,127,2020-03-22T22:26:47.794783,Quoted Sources
6854,2020-03-22T22:21:37.584138,238,2770,127,2020-03-22T22:31:14.581949,Quoted Sources
6855,2020-03-22T22:26:48.020225,238,2771,127,2020-03-22T22:39:08.367533,Quoted Sources
6888,2020-03-23T19:02:03.137320,238,2762,35,2020-03-23T19:05:53.427732,Quoted Sources
6889,2020-03-23T19:08:35.799048,238,2763,35,2020-03-23T19:09:53.870836,Quoted Sources
6890,2020-03-23T19:08:36.080363,238,2764,35,2020-03-23T19:10:52.391095,Quoted Sources
6891,2020-03-23T19:09:54.098667,238,2765,35,2020-03-23T19:13:42.544181,Quoted Sources
6892,2020-03-23T19:10:52.639799,238,2766,35,2020-03-23T19:15:07.237728,Quoted Sources
6893,2020-03-23T19:13:42.790600,238,2767,35,2020-03-23T19:16:14.390140,Quoted Sources
6894,2020-03-23T19:15:07.485843,238,2768,35,2020-03-23T19:17:19.087946,Quoted Sources
6895,2020-03-23T19:16:14.716926,238,2769,35,2020-03-23T19:19:41.002664,Quoted Sources
6896,2020-03-23T19:17:19.357981,238,2770,35,2020-03-23T19:20:40.426163,Quoted Sources
6897,2020-03-23T19:27:26.225009,238,2762,30,2020-03-23T19:29:46.084320,Quoted Sources
6898,2020-03-23T19:27:26.342714,238,2763,30,2020-03-23T19:31:14.940720,Quoted Sources
6915,2020-03-23T19:56:38.722047,238,2764,231,2020-03-23T19:59:49.972374,Quoted Sources
6916,2020-03-23T19:56:38.926219,238,2765,231,2020-03-23T20:02:00.636666,Quoted Sources
6917,2020-03-23T19:59:50.481315,238,2766,231,2020-03-23T20:04:32.807697,Quoted Sources
6918,2020-03-23T20:02:01.053540,238,2767,231,2020-03-23T20:06:36.768644,Quoted Sources
6921,2020-03-23T20:04:33.098539,238,2768,231,2020-03-23T20:08:06.778495,Quoted Sources
6922,2020-03-23T20:06:37.064632,238,2769,231,2020-03-23T20:10:21.152786,Quoted Sources
6923,2020-03-23T20:08:07.223419,238,2770,231,2020-03-23T20:11:53.027837,Quoted Sources
6924,2020-03-23T20:10:21.456827,238,2771,231,2020-03-23T20:14:16.954918,Quoted Sources
6925,2020-03-23T20:11:53.653140,238,2772,231,2020-03-23T20:15:39.729916,Quoted Sources
6926,2020-03-23T20:14:17.429407,238,2773,231,2020-03-23T20:18:21.063905,Quoted Sources
6948,2020-03-23T21:00:53.367170,238,2772,236,2020-03-23T21:03:11.183763,Quoted Sources
6949,2020-03-23T20:33:45.477416,238,2772,198,2020-03-23T21:07:01.590642,Quoted Sources
6950,2020-03-23T20:33:45.676322,238,2773,198,2020-03-23T21:09:13.375222,Quoted Sources
6951,2020-03-23T21:07:01.836985,238,2774,198,2020-03-23T21:15:47.386343,Quoted Sources
